Keyword,Year,Month,Day,Hour
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
flu,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
flu,2018,12,2,16
ebola,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
flu,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
flu,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
flu,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
flu,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
flu,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
flu,2018,12,2,16
flu,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
flu,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
flu,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
flu,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
flu,2018,12,2,16
trump,2018,12,2,16
headache,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
headache,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
flu,2018,12,2,16
flu,2018,12,2,16
trump,2018,12,2,16
